timestamp,t_rel_sec,knee_l,knee_r,hip_l,hip_r,elbow_l,elbow_r,shoulder_l,shoulder_r,crouch
2025-11-06 17:05:25,0.0,177.77882990796118,177.2368546585089,169.81079571285093,170.65627424159013,174.1888329732974,170.41094895448748,12.47528280269571,15.52233927833092,0.20261605083942413
2025-11-06 17:05:25,0.1380019187927246,176.5404191277821,176.79558100438405,169.19484214196078,170.49273259945974,174.2146696229543,170.3783402122127,12.394252876911152,15.230845713912535,0.19592154026031494
2025-11-06 17:05:25,0.16739845275878906,175.54362592149457,176.25169229895917,168.59960957949014,170.32757137433316,174.32209938107104,170.57881027057402,12.383351033030344,14.946175128557856,0.19228525459766388
2025-11-06 17:05:25,0.1987168788909912,174.94550476765667,175.89082303916527,168.24456463917622,170.18025692255807,174.37701815832307,170.69228369687622,12.366690893387904,14.763370481589211,0.1909431666135788
2025-11-06 17:05:25,0.24687862396240234,174.99482285422187,175.82534517067066,168.35097579634177,170.16636998479945,174.3844939886393,170.7757854536425,12.328858030339466,14.634179385598399,0.19029046595096588
2025-11-06 17:05:25,0.2784140110015869,175.0156043754654,175.75452709526348,168.4271777552331,170.12982693033177,174.4160605038329,170.71865172840754,12.292233585494566,14.569222980988034,0.1896883249282837
2025-11-06 17:05:25,0.3106372356414795,175.12138433471085,175.66365147276954,168.5830628266317,170.01226206385613,174.4523802757373,170.7441569380565,12.232361250065031,14.527715990217093,0.1889534294605255
2025-11-06 17:05:25,0.34279513359069824,175.1960664096537,175.56427046567794,168.61646052433045,170.00432844809527,174.47490424577222,170.89170926591524,12.214919786987199,14.437245070249372,0.18863481283187866
2025-11-06 17:05:25,0.3760244846343994,175.2899040877193,175.54629259446972,168.66322396031688,169.98956859966495,174.49463084366843,170.89785611115767,12.202507080998917,14.391022106897234,0.18836334347724915
2025-11-06 17:05:26,0.4065837860107422,175.30785146670163,175.45595965859312,168.65312896272067,169.96576689676604,174.49950134435733,171.12966649728602,12.200235241649656,14.272329219980403,0.18789656460285187
2025-11-06 17:05:26,0.4379425048828125,175.27844788475693,175.39728166341908,168.62336019640887,169.94890670857717,174.495448390873,171.20936675822094,12.217766580279378,14.215430113972602,0.18748311698436737
2025-11-06 17:05:26,0.47098493576049805,175.2992686185825,175.37754076093992,168.63848444654792,169.95589636963527,174.46886750187647,171.23436653756514,12.23419631020651,14.195846534015436,0.18728961050510406
2025-11-06 17:05:26,0.5030643939971924,175.2761473706853,175.34343540110206,168.625510549662,169.96781382331724,174.58767486474713,171.2185387712431,12.191237411266792,14.198526557840808,0.18702760338783264
2025-11-06 17:05:26,0.5345919132232666,175.37894855799019,175.26262810678367,168.71215162557013,169.90122801312572,174.74638322586995,171.2221816248323,12.106302650488166,14.205541713645072,0.18714381754398346
2025-11-06 17:05:26,0.5669434070587158,175.7777150902071,175.27384883630444,168.95718364059047,169.9427741388309,174.95169323048518,171.0847480856553,11.991575803271617,14.257712379913812,0.18762071430683136
2025-11-06 17:05:26,0.5999321937561035,174.69630386845517,174.15834813835184,168.3743581773987,170.1617164685014,174.0059178585157,170.94925791611038,12.35614662478867,14.007880896396765,0.18778301775455475
2025-11-06 17:05:26,0.646979570388794,177.5542470407863,174.35770933781802,170.35404302140446,169.69575650623477,173.03544938045636,171.13319934389318,12.151406375021287,14.115853583175832,0.1879371702671051
2025-11-06 17:05:26,0.6797876358032227,178.96145012657217,175.91021747291876,170.51522015177846,168.8941122208331,173.273357242329,173.0835336122425,12.06529812235638,13.720083410008371,0.18791063129901886
2025-11-06 17:05:26,0.7115364074707031,179.1970162462609,176.6998885604618,170.2497891654154,169.00065836575874,173.58401516527084,172.33474557080535,12.048526749126607,14.273149333905453,0.18490037322044373
2025-11-06 17:05:26,0.7438724040985107,178.8704946551664,174.73442963479928,168.7720894867652,166.94694252851778,173.92316606069198,173.33706705716247,12.427907425457935,13.540456828739956,0.18313366174697876
2025-11-06 17:05:26,0.7753973007202148,179.04956182998495,174.9896626559329,166.74586583952578,166.13286685629362,175.1035625450413,174.1655520517107,12.301646073927328,12.927156211420412,0.18196934461593628
2025-11-06 17:05:26,0.8069517612457275,179.86061297768705,174.57049143888773,167.60380077839613,163.9397403574526,174.29787646979705,174.23968438691554,12.50198312105277,13.300079835955312,0.17951567471027374
2025-11-06 17:05:26,0.8395514488220215,179.96755870685396,179.42843926754273,166.6359242260878,164.37043316490463,175.1810217894584,174.80962515097355,12.509623920359719,13.325963515792921,0.17991548776626587
2025-11-06 17:05:26,0.8707821369171143,178.93082805230358,177.30921942679478,167.5849956600949,159.42441249816656,175.25272937950052,173.99019581308698,11.666755533539968,14.14352885521641,0.1832701712846756
2025-11-06 17:05:26,0.9032537937164307,179.54959020641596,177.21294262954018,166.85944253569022,157.11795655080348,176.08567065686074,176.5644118306479,11.683988851422077,13.426316384108048,0.18527337908744812
2025-11-06 17:05:26,0.9357893466949463,177.8304250118935,174.9482136559435,165.05737195166796,153.9212794960601,174.0946849389669,176.63957883723106,12.311608239004824,13.833294592372106,0.18600083887577057
2025-11-06 17:05:26,0.9671211242675781,177.1519091495498,171.78683278086876,163.60676953418056,151.30517921524108,174.67649462358585,177.28918786255406,12.405339710001398,13.650931862529909,0.18668217957019806
2025-11-06 17:05:26,0.9995076656341553,177.76022052553276,172.95464298507443,162.9435606945309,150.12047378013642,174.86766149692193,177.71519525102994,12.488803623773208,13.996369537312631,0.18623852729797363
